"year","total_quantity","total_revenue_usd"
"2013-01-01 00:00:00","58310","377331.00"
"2014-01-01 00:00:00","650896","4069106.54"
"2015-01-01 00:00:00","912972","5752004.94"
"2016-01-01 00:00:00","2041600","12864917.92"
"2017-01-01 00:00:00","11987","78151.43"
